,RAW DATA
814,SSO
818,configuration
823,tcpdump
824,protocols
826,DNS
827,DHCP
830,Interpersonal Skills
831,Zendesk
837,DevOPS
842,SLA
848,VPN
849,SSO
853,configuration
858,tcpdump
859,protocols
861,DNS
862,DHCP
865,Interpersonal Skills
866,Zendesk
871,Python
872,advanced SQL
874,tooling
879,pandas
880,NumPy
886,Spark
887,Elasticsearch
890,AWS
893,Jenkins
896,Recommender Systems
903,exploratory data analysis
904,algorithms
912,debugging
913,documentation
919,manuals
923,troubleshooting
926,SDLC
927,Agile
930,containers
933,docker
948,BitBucket
949,JIRA
952,Mockito
953,Application Servers
954,JBoss
955,WebSphere
956,Tomcat
957,Database Servers
958,PostgreSQL
959,Oracle
960,MSSQL
961,Linux
963,shell scripting
964,JAXB
965,Apache Commons
968,XML
969,XSD
970,Apache Ant
972,SQL
975,JDBC
976,liquibase
978,JMS
982,Ruby
983,Rails
991,algorithms
993,API development
994,Ruby
995,Rails
996,Sinatra
997,Django
998,Node
999,Git
1000,GitHub
1002,relational databases
1003,PostgreSQL
1004,MySQL
1007,Celery
1009,RabbitMQ
1013,RSpec
1016,profiling tools
1020,Elixir
1024,subscriptions
1025,GCP
1028,startups
1029,esports
1033,Ruby
1034,Rails
1042,algorithms
1044,API development
1045,Ruby
1046,Rails
1047,Sinatra
1048,Django
1049,Node
1050,Git
1051,GitHub
1053,relational databases
1054,PostgreSQL
1055,MySql
1058,Celery
1061,RabbitMQ
1064,RSpec
1067,profiling tools
1071,Elixir
1075,subscriptions
1076,GCP
1079,startups
1080,esports
1083,Ruby
1084,Rails
1092,algorithms
1094,API development
1095,Ruby
1096,Rails
1097,Sinatra
1098,Django
1099,Node
1100,Git
1101,GitHub
1103,relational databases
1104,PostgreSQL
1105,MySQL
1108,Celery
1110,RabbitMQ
1114,RSpec
1117,profiling tools
1121,Elixir
1125,subscriptions
1126,GCP
1129,startups
1130,esports
1134,Ruby
1135,Rails
1143,algorithms
1145,API development
1146,Ruby
1147,Rails
1148,Sinatra
1149,Django
1150,Node
1151,Git
1152,GitHub
1154,relational databases
1155,PostgreSQL
1156,MySql
1159,Celery
1162,RabbitMQ
1165,RSpec
1168,profiling tools
1172,Elixir
1176,subscriptions
1177,GCP
1180,startups
1181,esports
1184,Deployment
1185,configuration
1187,RESTful webservices
1188,SQL
1189,relational databases
1191,MySQL
1198,frameworks
1205,ReactJS
1207,design specifications
1208,coordination
1210,UX
1211,UI
1214,JavaScript
1219,CSS
1224,QA
1225,devops
1229,HTML
1231,JavaScript
1237,Mocha
1241,Jenkins
1243,documentation
1248,Mocha
1249,Karma
1253,reliability
1260,AWS
1262,Scripting
1264,Python
1265,Ruby
1274,MongoDB
1276,Docker
1280,Perforce
1293,continuous integration
1294,deployment
1296,Golang
1302,Python
1303,Docker
1312,scalability
1318,Microservices
1331,plugins
1333,architectures
1342,Golang
1343,mentorship
1347,curiosity
1350,frameworks
1352,normalization
1353,sampling
1354,linear regression
1364,Networking
1366,Networking
1369,DNS
1372,Firewalls
1376,IoT
1379,CCNA
1380,CCDA
1381,CCNP
1382,MCSE
1383,CEH
1384,Microsoft Azure
1385,CISSP
1386,CSP
1387,API
1388,Python
1392,information retrieval
1397,frameworks
1399,normalization
1400,sampling
1401,linear regression
1404,reinforcement learning
1418,NetSuite
1424,CRM
1426,Billing
1432,validation
1434,scalability
1437,documentation
1438,ERP
1439,Oracle
1440,NetSuite
1441,automation
1449,SQL
1450,Javascript
1458,deadlines
1461,Exceptional communicator
1469,networking
1472,Golang
1473,Python
1481,reliability
1493,Mentor
1495,TPM
1503,reliability
1504,GCP
1505,AWS
1506,Azure
1507,Golang
1510,GCP
1525,maturity
1534,debugging
1536,Git
1537,GitHub
1538,Bitbucket
1539,TDD
1542,Android SDK
1551,maturity
1560,debugging
1562,Git
1563,GitHub
1564,Bitbucket
1565,TDD
1568,Android SDK
1577,maturity
1586,debugging
1588,Git
1589,GitHub
1590,Bitbucket
1591,TDD
1593,estimation
1597,Analytics
1599,reliability
1600,reliability
1601,resiliency
1602,scalability
1604,SLA
1613,containerization
1618,Elasticsearch
1620,Logstash
1623,saltstack
1636,UDP
1639,Resilience
1644,mentorship
1648,AWS
1663,Elasticsearch
1664,Kibana
1665,Logstash
1668,saltstack
1669,python
1675,frameworks
1680,MapReduce
1681,Spark
1700,Golang
1704,Empathy
1708,Curiosity
1710,consistency
1717,Golang
1718,mentorship
1723,optimizations
1726,JIRA
1734,debugging
1736,optimizations
1749,algorithms
1767,algorithms
1775,WebSockets
1776,JSON
1777,Python
1780,mentorship
1785,optimizations
1788,JIRA
1796,debugging
1798,optimizations
1804,velocity
1805,Mentor
1809,Jenkins
1810,tooling
1812,Python
1813,Perforce
1814,Git
1815,Subversion
1821,Linux
1823,relational databases
1825,Lua
1826,PHP
1829,Puppet
1830,Ansible
1843,gulp
1844,sass
1845,typescript
1850,frameworks
1854,Javascript
1861,docker
1862,maven
1863,gradle
1864,databases
1866,redis
1868,cassandra
1869,UX
1876,Python
1879,Django
1880,Golang
1884,data modeling
1897,TypeScript
1899,deployment
1903,python
1904,SQL
1905,Linux
1908,Git
1912,problem solver
1913,Python
1917,VMs
1919,Docker
1921,matchmaking
1924,adaptability
1926,scalability
1933,NodeJS
1941,scalability
1945,Mentor
1947,Elixir
1954,functional programming
1955,specifications
1957,indicators
1959,guides
1978,resiliency
1982,schedules
1992,AWS
1993,Azure
2000,configuration
2001,performance tuning
2005,NTP
2006,DHCP
2007,SMTP
2009,VMware
2011,KVM
2012,IaaS
2013,PaaS
2014,SaaS
2017,virtualization
2018,web servers
2020,Scripting
2021,automation
2022,bash
2023,python
2024,ruby
2025,deployment
2028,Ansible
2029,troubleshooting
2031,switches
2032,firewalls
2033,vendors
2035,NMS
2044,resiliency
2048,schedules
2058,AWS
2059,Azure
2066,configuration
2067,performance tuning
2071,NTP
2072,DHCP
2073,SMTP
2075,VMware
2077,KVM
2078,IaaS
2079,PaaS
2080,SaaS
2083,virtualization
2084,web servers
2086,Scripting
2087,automation
2088,bash
2089,python
2090,ruby
2091,deployment
2094,Ansible
2095,troubleshooting
2097,switches
2098,firewalls
2099,vendors
2101,NMS
2110,resiliency
2114,schedules
2124,AWS
2125,Azure
2132,configuration
2133,performance tuning
2137,NTP
2138,DHCP
2139,SMTP
2141,VMware
2143,KVM
2144,IaaS
2145,PaaS
2146,SaaS
2149,virtualization
2150,web servers
2152,Scripting
2153,automation
2154,bash
2155,python
2156,ruby
2157,deployment
2160,Ansible
2161,troubleshooting
2163,switches
2164,firewalls
2165,vendors
2167,NMS
2176,resiliency
2180,schedules
2190,AWS
2191,Azure
2198,configuration
2199,performance tuning
2203,NTP
2204,DHCP
2205,SMTP
2207,VMware
2209,KVM
2210,IaaS
2211,PaaS
2212,SaaS
2215,virtualization
2216,web servers
2218,Scripting
2219,automation
2220,bash
2221,python
2222,ruby
2223,deployment
2226,Ansible
2227,troubleshooting
2229,switches
2230,firewalls
2231,vendors
2233,NMS
2242,resiliency
2246,schedules
2256,AWS
2257,Azure
2264,configuration
2265,performance tuning
2269,NTP
2270,DHCP
2271,SMTP
2273,VMware
2275,KVM
2276,IaaS
2277,PaaS
2278,SaaS
2281,virtualization
2282,web servers
2284,Scripting
2285,automation
2286,bash
2287,python
2288,ruby
2289,deployment
2292,Ansible
2293,troubleshooting
2295,switches
2296,firewalls
2297,vendors
2299,NMS
2308,resiliency
2312,schedules
2322,AWS
2323,Azure
2330,configuration
2331,performance tuning
2335,NTP
2336,DHCP
2337,SMTP
2339,VMware
2341,KVM
2342,IaaS
2343,PaaS
2344,SaaS
2347,virtualization
2348,web servers
2350,Scripting
2351,automation
2352,bash
2353,python
2354,ruby
2355,deployment
2358,Ansible
2359,troubleshooting
2361,switches
2362,firewalls
2363,vendors
2365,NMS
2374,resiliency
2378,schedules
2388,AWS
2389,Azure
2396,configuration
2397,performance tuning
2401,NTP
2402,DHCP
2403,SMTP
2405,VMware
2407,KVM
2408,IaaS
2409,PaaS
2410,SaaS
2413,virtualization
2414,web servers
2416,Scripting
2417,automation
2418,bash
2419,python
2420,ruby
2421,deployment
2424,Ansible
2425,troubleshooting
2427,switches
2428,firewalls
2429,vendors
2431,NMS
2440,resiliency
2444,schedules
2454,AWS
2455,Azure
2462,configuration
2463,performance tuning
2467,NTP
2468,DHCP
2469,SMTP
2471,VMware
2473,KVM
2474,IaaS
2475,PaaS
2476,SaaS
2479,virtualization
2480,web servers
2482,Scripting
2483,automation
2484,bash
2485,python
2486,ruby
2487,deployment
2490,Ansible
2491,troubleshooting
2493,switches
2494,firewalls
2495,vendors
2497,NMS
2506,resiliency
2510,schedules
2520,AWS
2521,Azure
2528,configuration
2529,performance tuning
2533,NTP
2534,DHCP
2535,SMTP
2537,VMware
2539,KVM
2540,IaaS
2541,PaaS
2542,SaaS
2545,virtualization
2546,web servers
2548,Scripting
2549,automation
2550,bash
2551,python
2552,ruby
2553,deployment
2556,Ansible
2557,troubleshooting
2559,switches
2560,firewalls
2561,vendors
2563,NMS
2572,resiliency
2576,schedules
2586,AWS
2587,Azure
2594,configuration
2595,performance tuning
2599,NTP
2600,DHCP
2601,SMTP
2603,VMware
2605,KVM
2606,IaaS
2607,PaaS
2608,SaaS
2611,virtualization
2612,web servers
2614,Scripting
2615,automation
2616,bash
2617,python
2618,ruby
2619,deployment
2622,Ansible
2623,troubleshooting
2625,switches
2626,firewalls
2627,vendors
2629,NMS
2638,resiliency
2642,schedules
2652,AWS
2653,Azure
2660,configuration
2661,performance tuning
2665,NTP
2666,DHCP
2667,SMTP
2669,VMware
2671,KVM
2672,IaaS
2673,PaaS
2674,SaaS
2677,virtualization
2678,web servers
2680,Scripting
2681,automation
2682,bash
2683,python
2684,ruby
2685,deployment
2688,Ansible
2689,troubleshooting
2691,switches
2692,firewalls
2693,vendors
2695,NMS
2704,resiliency
2708,schedules
2718,AWS
2719,Azure
2726,configuration
2727,performance tuning
2731,NTP
2732,DHCP
2733,SMTP
2735,VMware
2737,KVM
2738,IaaS
2739,PaaS
2740,SaaS
2743,virtualization
2744,web servers
2746,Scripting
2747,automation
2748,bash
2749,python
2750,ruby
2751,deployment
2754,Ansible
2755,troubleshooting
2757,switches
2758,firewalls
2759,vendors
2761,NMS
2770,resiliency
2774,schedules
2784,AWS
2785,Azure
2792,configuration
2793,performance tuning
2797,NTP
2798,DHCP
2799,SMTP
2801,VMware
2803,KVM
2804,IaaS
2805,PaaS
2806,SaaS
2809,virtualization
2810,web servers
2812,Scripting
2813,automation
2814,bash
2815,python
2816,ruby
2817,deployment
2820,Ansible
2821,troubleshooting
2823,switches
2824,firewalls
2825,vendors
2827,NMS
2836,resiliency
2840,schedules
2850,AWS
2851,Azure
2858,configuration
2859,performance tuning
2863,NTP
2864,DHCP
2865,SMTP
2867,VMware
2869,KVM
2870,IaaS
2871,PaaS
2872,SaaS
2875,virtualization
2876,web servers
2878,Scripting
2879,automation
2880,bash
2881,python
2882,ruby
2883,deployment
2886,Ansible
2887,troubleshooting
2889,switches
2890,firewalls
2891,vendors
2893,NMS
2902,resiliency
2906,schedules
2916,AWS
2917,Azure
2924,configuration
2925,performance tuning
2929,NTP
2930,DHCP
2931,SMTP
2933,VMware
2935,KVM
2936,IaaS
2937,PaaS
2938,SaaS
2941,virtualization
2942,web servers
2944,Scripting
2945,automation
2946,bash
2947,python
2948,ruby
2949,deployment
2952,Ansible
2953,troubleshooting
2955,switches
2956,firewalls
2957,vendors
2959,NMS
2968,resiliency
2972,schedules
2982,AWS
2983,Azure
2990,configuration
2991,performance tuning
2995,NTP
2996,DHCP
2997,SMTP
2999,VMware
3001,KVM
3002,IaaS
3003,PaaS
3004,SaaS
3007,virtualization
3008,web servers
3010,Scripting
3011,automation
3012,bash
3013,python
3014,ruby
3015,deployment
3018,Ansible
3019,troubleshooting
3021,switches
3022,firewalls
3023,vendors
3025,NMS
3034,resiliency
3038,schedules
3048,AWS
3049,Azure
3056,configuration
3057,performance tuning
3061,NTP
3062,DHCP
3063,SMTP
3065,VMware
3067,KVM
3068,IaaS
3069,PaaS
3070,SaaS
3073,virtualization
3074,web servers
3076,Scripting
3077,automation
3078,bash
3079,python
3080,ruby
3081,deployment
3084,Ansible
3085,troubleshooting
3087,switches
3088,firewalls
3089,vendors
3091,NMS
3100,resiliency
3104,schedules
3114,AWS
3115,Azure
3122,configuration
3123,performance tuning
3127,NTP
3128,DHCP
3129,SMTP
3131,VMware
3133,KVM
3134,IaaS
3135,PaaS
3136,SaaS
3139,virtualization
3140,web servers
3142,Scripting
3143,automation
3144,bash
3145,python
3146,ruby
3147,deployment
3150,Ansible
3151,troubleshooting
3153,switches
3154,firewalls
3155,vendors
3157,NMS
3166,resiliency
3170,schedules
3180,AWS
3181,Azure
3188,configuration
3189,performance tuning
3193,NTP
3194,DHCP
3195,SMTP
3197,VMware
3199,KVM
3200,IaaS
3201,PaaS
3202,SaaS
3205,virtualization
3206,web servers
3208,Scripting
3209,automation
3210,bash
3211,python
3212,ruby
3213,deployment
3216,Ansible
3217,troubleshooting
3219,switches
3220,firewalls
3221,vendors
3223,NMS
3232,resiliency
3236,schedules
3246,AWS
3247,Azure
3254,configuration
3255,performance tuning
3259,NTP
3260,DHCP
3261,SMTP
3263,VMware
3265,KVM
3266,IaaS
3267,PaaS
3268,SaaS
3271,virtualization
3272,web servers
3274,Scripting
3275,automation
3276,bash
3277,python
3278,ruby
3279,deployment
3282,Ansible
3283,troubleshooting
3285,switches
3286,firewalls
3287,vendors
3289,NMS
3298,resiliency
3302,schedules
3312,AWS
3313,Azure
3320,configuration
3321,performance tuning
3325,NTP
3326,DHCP
3327,SMTP
3329,VMware
3331,KVM
3332,IaaS
3333,PaaS
3334,SaaS
3337,virtualization
3338,web servers
3340,Scripting
3341,automation
3342,bash
3343,python
3344,ruby
3345,deployment
3348,Ansible
3349,troubleshooting
3351,switches
3352,firewalls
3353,vendors
3355,NMS
3364,resiliency
3368,schedules
3378,AWS
3379,Azure
3386,configuration
3387,performance tuning
3391,NTP
3392,DHCP
3393,SMTP
3395,VMware
3397,KVM
3398,IaaS
3399,PaaS
3400,SaaS
3403,virtualization
3404,web servers
3406,Scripting
3407,automation
3408,bash
3409,python
3410,ruby
3411,deployment
3414,Ansible
3415,troubleshooting
3417,switches
3418,firewalls
3419,vendors
3421,NMS
3430,resiliency
3434,schedules
3444,AWS
3445,Azure
3452,configuration
3453,performance tuning
3457,NTP
3458,DHCP
3459,SMTP
3461,VMware
3463,KVM
3464,IaaS
3465,PaaS
3466,SaaS
3469,virtualization
3470,web servers
3472,Scripting
3473,automation
3474,bash
3475,python
3476,ruby
3477,deployment
3480,Ansible
3481,troubleshooting
3483,switches
3484,firewalls
3485,vendors
3487,NMS
3496,resiliency
3500,schedules
3510,AWS
3511,Azure
3518,configuration
3519,performance tuning
3523,NTP
3524,DHCP
3525,SMTP
3527,VMware
3529,KVM
3530,IaaS
3531,PaaS
3532,SaaS
3535,virtualization
3536,web servers
3538,Scripting
3539,automation
3540,bash
3541,python
3542,ruby
3543,deployment
3546,Ansible
3547,troubleshooting
3549,switches
3550,firewalls
3551,vendors
3553,NMS
3562,resiliency
3566,schedules
3576,AWS
3577,Azure
3584,configuration
3585,performance tuning
3589,NTP
3590,DHCP
3591,SMTP
3593,VMware
3595,KVM
3596,IaaS
3597,PaaS
3598,SaaS
3601,virtualization
3602,web servers
3604,Scripting
3605,automation
3606,bash
3607,python
3608,ruby
3609,deployment
3612,Ansible
3613,troubleshooting
3615,switches
3616,firewalls
3617,vendors
3619,NMS
3628,resiliency
3632,schedules
3642,AWS
3643,Azure
3650,configuration
3651,performance tuning
3655,NTP
3656,DHCP
3657,SMTP
3659,VMware
3661,KVM
3662,IaaS
3663,PaaS
3664,SaaS
3667,virtualization
3668,web servers
3670,Scripting
3671,automation
3672,bash
3673,python
3674,ruby
3675,deployment
3678,Ansible
3679,troubleshooting
3681,switches
3682,firewalls
3683,vendors
3685,NMS
3694,resiliency
3698,schedules
3708,AWS
3709,Azure
3716,configuration
3717,performance tuning
3721,NTP
3722,DHCP
3723,SMTP
3725,VMware
3727,KVM
3728,IaaS
3729,PaaS
3730,SaaS
3733,virtualization
3734,web servers
3736,Scripting
3737,automation
3738,bash
3739,python
3740,ruby
3741,deployment
3744,Ansible
3745,troubleshooting
3747,switches
3748,firewalls
3749,vendors
3751,NMS
3760,resiliency
3764,schedules
3774,AWS
3775,Azure
3782,configuration
3783,performance tuning
3787,NTP
3788,DHCP
3789,SMTP
3791,VMware
3793,KVM
3794,IaaS
3795,PaaS
3796,SaaS
3799,virtualization
3800,web servers
3802,Scripting
3803,automation
3804,bash
3805,python
3806,ruby
3807,deployment
3810,Ansible
3811,troubleshooting
3813,switches
3814,firewalls
3815,vendors
3817,NMS
3826,resiliency
3830,schedules
3840,AWS
3841,Azure
3848,configuration
3849,performance tuning
3853,NTP
3854,DHCP
3855,SMTP
3857,VMware
3859,KVM
3860,IaaS
3861,PaaS
3862,SaaS
3865,virtualization
3866,web servers
3868,Scripting
3869,automation
3870,bash
3871,python
3872,ruby
3873,deployment
3876,Ansible
3877,troubleshooting
3879,switches
3880,firewalls
3881,vendors
3883,NMS
3892,resiliency
3896,schedules
3906,AWS
3907,Azure
3914,configuration
3915,performance tuning
3919,NTP
3920,DHCP
3921,SMTP
3923,VMware
3925,KVM
3926,IaaS
3927,PaaS
3928,SaaS
3931,virtualization
3932,web servers
3934,Scripting
3935,automation
3936,bash
3937,python
3938,ruby
3939,deployment
3942,Ansible
3943,troubleshooting
3945,switches
3946,firewalls
3947,vendors
3949,NMS
3954,UI
3959,JavaScript
3960,CSS
3961,HTML
3964,syntax
3971,TypeScript
3975,aesthetics
3987,agile development
3990,MVVM
4000,NodeJS
4008,JavaScript
4009,Python
4011,Bamboo
4012,Docker
4013,Jenkins
4014,APIs
4016,relational databases
4018,Microsoft Azure
4020,sponsorship
4027,Haskell
4028,Typescript
4030,relational databases
4031,linux
4034,Jenkins
4044,Scala
4046,Python
4047,SQL
4049,Hadoop
4050,Hive
4051,MapReduce
4054,MongoDB
4055,Cassandra
4057,pipelines
4060,GCP
4061,Azure
4066,GitHub
4067,JIRA
4068,Confluence
4070,prototype
4085,WCF
4087,SQL
4090,APIs
4091,interfaces
4098,dependency injection
4100,HTML
4101,JavaScript
4102,CSS
4104,JSON
4111,prototype
4126,WCF
4128,SQL
4131,APIs
4132,interfaces
4139,dependency injection
4141,HTML
4142,JavaScript
4143,CSS
4145,JSON
4152,prototype
4167,WCF
4169,SQL
4172,APIs
4173,interfaces
4180,dependency injection
4182,HTML
4183,JavaScript
4184,CSS
4186,JSON
4193,prototype
4208,WCF
4210,SQL
4213,APIs
4214,interfaces
4221,dependency injection
4223,HTML
4224,JavaScript
4225,CSS
4227,JSON
4234,prototype
4249,WCF
4251,SQL
4254,APIs
4255,interfaces
4262,dependency injection
4264,HTML
4265,JavaScript
4266,CSS
4268,JSON
4275,prototype
4290,WCF
4292,SQL
4295,APIs
4296,interfaces
4303,dependency injection
4305,HTML
4306,JavaScript
4307,CSS
4309,JSON
4324,SQL
4325,data analytics
4328,PowerShell
4331,Angular
4334,APIs
4337,messaging
4338,Microservices
4340,Docker
4354,SQL
4355,data analytics
4358,PowerShell
4361,Angular
4364,APIs
4367,messaging
4368,Microservices
4370,Docker
4384,SQL
4385,data analytics
4388,PowerShell
4391,Angular
4394,APIs
4397,messaging
4398,Microservices
4400,Docker
4406,prototype
4422,logging
4423,APIs
4424,interfaces
4428,dependency injection
4431,scrum
4433,AWS
4434,Azure
4436,OAuth
4441,HTML
4442,JavaScript
4443,CSS
4445,JSON
4447,Dojo
4448,Angular
4451,jQuery
4453,prototype
4469,logging
4470,APIs
4471,interfaces
4475,dependency injection
4478,scrum
4480,AWS
4481,Azure
4483,OAuth
4488,HTML
4489,JavaScript
4490,CSS
4492,JSON
4494,Dojo
4495,Angular
4498,jQuery
4500,prototype
4516,logging
4517,APIs
4518,interfaces
4522,dependency injection
4525,scrum
4527,AWS
4528,Azure
4530,OAuth
4535,HTML
4536,JavaScript
4537,CSS
4539,JSON
4541,Dojo
4542,Angular
4545,jQuery
4547,prototype
4563,logging
4564,APIs
4565,interfaces
4569,dependency injection
4572,scrum
4574,AWS
4575,Azure
4577,OAuth
4582,HTML
4583,JavaScript
4584,CSS
4586,JSON
4588,Dojo
4589,Angular
4592,jQuery
4594,prototype
4610,logging
4611,APIs
4612,interfaces
4616,dependency injection
4619,scrum
4621,AWS
4622,Azure
4624,OAuth
4629,HTML
4630,JavaScript
4631,CSS
4633,JSON
4635,Dojo
4636,Angular
4639,jQuery
4649,SQL
4650,data analytics
4653,PowerShell
4656,Angular
4659,APIs
4662,messaging
4663,Microservices
4665,Docker
4671,prototype
4687,logging
4688,APIs
4689,interfaces
4693,dependency injection
4696,scrum
4698,AWS
4699,Azure
4701,OAuth
4706,HTML
4707,JavaScript
4708,CSS
4710,JSON
4712,Dojo
4713,Angular
4716,jQuery
4720,TSQL
4721,Android SDK
4722,HTML
4723,JavaScript
4735,JavaScript frameworks
4744,UI
4745,UX
4747,prototype
4755,JSON
4757,UI
4758,UX
4771,SQL
4772,data analytics
4775,PowerShell
4778,Angular
4781,APIs
4784,messaging
4785,Microservices
4787,Docker
4801,SQL
4802,data analytics
4805,PowerShell
4808,Angular
4811,APIs
4814,messaging
4815,Microservices
4817,Docker
4823,prototype
4839,logging
4840,APIs
4841,interfaces
4845,dependency injection
4848,scrum
4850,AWS
4851,Azure
4853,OAuth
4858,HTML
4859,JavaScript
4860,CSS
4862,JSON
4864,Dojo
4865,Angular
4868,jQuery
4878,SQL
4879,data analytics
4882,PowerShell
4885,Angular
4888,APIs
4891,messaging
4892,Microservices
4894,Docker
4908,SQL
4909,data analytics
4912,PowerShell
4915,Angular
4918,APIs
4921,messaging
4922,Microservices
4924,Docker
4930,prototype
4946,logging
4947,APIs
4948,interfaces
4952,dependency injection
4955,scrum
4957,AWS
4958,Azure
4960,OAuth
4965,HTML
4966,JavaScript
4967,CSS
4969,JSON
4971,Dojo
4972,Angular
4975,jQuery
4986,jQuery
4996,Cucumber
4997,Specflow
4999,RDBMS
5005,TSQL
5006,Android SDK
5007,HTML
5008,JavaScript
5020,JavaScript frameworks
5029,UI
5030,UX
5034,TSQL
5035,Android SDK
5036,HTML
5037,JavaScript
5049,JavaScript frameworks
5058,UI
5059,UX
5069,SQL
5070,data analytics
5073,PowerShell
5076,Angular
5079,APIs
5082,messaging
5083,Microservices
5085,Docker
5099,SQL
5100,data analytics
5103,PowerShell
5106,Angular
5109,APIs
5112,messaging
5113,Microservices
5115,Docker
5121,prototype
5137,logging
5138,APIs
5139,interfaces
5143,dependency injection
5146,scrum
5148,AWS
5149,Azure
5151,OAuth
5156,HTML
5157,JavaScript
5158,CSS
5160,JSON
5162,Dojo
5163,Angular
5166,jQuery
5168,prototype
5184,logging
5185,APIs
5186,interfaces
5190,dependency injection
5193,scrum
5195,AWS
5196,Azure
5198,OAuth
5203,HTML
5204,JavaScript
5205,CSS
5207,JSON
5209,Dojo
5210,Angular
5213,jQuery
5215,prototype
5231,logging
5232,APIs
5233,interfaces
5237,dependency injection
5240,scrum
5242,AWS
5243,Azure
5245,OAuth
5250,HTML
5251,JavaScript
5252,CSS
5254,JSON
5256,Dojo
5257,Angular
5260,jQuery
5264,TSQL
5265,Android SDK
5266,HTML
5267,JavaScript
5279,JavaScript frameworks
5288,UI
5289,UX
5293,TSQL
5294,Android SDK
5295,HTML
5296,JavaScript
5308,JavaScript frameworks
5317,UI
5318,UX
5322,TSQL
5323,Android SDK
5324,HTML
5325,JavaScript
5337,JavaScript frameworks
5346,UI
5347,UX
5351,TSQL
5352,Android SDK
5353,HTML
5354,JavaScript
5366,JavaScript frameworks
5375,UI
5376,UX
5380,Typescript
5384,documentation
5390,databases
5392,specifications
5395,validation
5396,macros
5397,supervision
5409,coding
5410,technical documentation
5412,query optimization
5417,deadlines
5424,AngularJS
5426,Web API
5427,Git
5428,nUnit
5429,Dependency Injection
5430,Web Api
5437,stored procedures
5443,documentation
5445,continuous integration
5446,metrics
5447,problem solving
5450,logging
5451,APIs
5453,generics
5460,performance tuning
5462,troubleshooting
5468,SaltStack
5469,MySQL
5474,Scripting
5475,Bash
5476,AWS
5477,GCP
5479,clustering
5480,replication
5491,automation
5501,Diagnostics
5502,troubleshooting
5505,Python
5506,Scala
5507,EMR
5508,Athena
5520,Spark
5526,frameworks
5536,Oozie
5538,Talend
5541,Jenkins
5543,data modeling
5544,persistence
5546,data marts
5557,automation
5567,Diagnostics
5568,troubleshooting
5572,Python
5573,Scala
5574,EMR
5575,Athena
5587,Spark
5593,frameworks
5603,Oozie
5605,Talend
5608,Jenkins
5610,data modeling
5611,persistence
5613,data marts
5624,automation
5634,Diagnostics
